

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|11 50 24.0|+04 41 00|267.2859| 63.2494|       |    SPIRAL GALAXY|
|22 08 12.0|+04 41 00| 65.5368|-39.3563|   1.11|    SPIRAL GALAXY|
|09 22 18.0|+04 42 00|227.5128| 35.4487|   1.00|    SPIRAL GALAXY|
|14 04 18.0|+04 42 00|343.9030| 61.6313|       |           GALAXY|
|03 12 51.7|+04 42 18|175.3622|-43.3145|   1.27|    SPIRAL GALAXY|
|06 24 00.2|+04 42 38|205.5977| -3.9265|   1.04|    SPIRAL GALAXY|
|13 12 42.6|+04 43 47|316.6256| 67.0342|   0.92|    SPIRAL GALAXY|
|01 18 24.0|+04 44 00|135.4989|-57.4791|   0.95|    SPIRAL GALAXY|
|13 34 00.0|+04 44 00|329.1804| 65.4127|   1.27|    SPIRAL GALAXY|
|10 00 45.3|+04 44 02|234.0342| 43.6121|   1.09|LENTICULAR GALAXY|
|02 13 28.1|+04 44 50|157.8959|-52.4657|   0.98|    SPIRAL GALAXY|
|12 01 36.0|+04 45 00|272.7721| 64.6625|   1.07|    SPIRAL GALAXY|
|14 54 12.3|+04 45 00|  0.9954| 53.1735|   1.01|LENTICULAR GALAXY|
|23 59 18.0|+04 45 00| 99.4112|-55.7225|   1.17|    SPIRAL GALAXY|
|08 53 30.0|+04 46 00|223.2810| 29.2249|   1.04|    SPIRAL GALAXY|
|13 44 30.0|+04 46 00|334.7655| 64.3078|   1.02|    SPIRAL GALAXY|
|14 43 06.0|+04 46 00|357.8584| 55.2452|   1.16|    SPIRAL GALAXY|
|19 52 00.0|+04 46 00| 44.2563|-11.1722|   1.07|    SPIRAL GALAXY|
|14 27 29.9|+04 46 42|352.8805| 58.0064|   0.95|    SPIRAL GALAXY|
|12 21 33.4|+04 46 46|283.9374| 66.5429|   1.15|    SPIRAL GALAXY|
|01 20 54.0|+04 47 00|136.6118|-57.3038|   1.11|ELLIPTICAL GALAXY|
|04 17 12.8|+04 47 00|188.2924|-30.9812|   1.10|    SPIRAL GALAXY|
|15 43 24.0|+04 47 00| 12.1288| 43.3736|   1.11|    SPIRAL GALAXY|
|02 03 35.5|+04 47 08|154.2926|-53.6347|   1.00|    SPIRAL GALAXY|
|12 18 56.0|+04 47 12|282.3728| 66.3523|   1.10|LENTICULAR GALAXY|
|10 12 51.3|+04 47 28|236.3629| 46.1359|   1.06|    SPIRAL GALAXY|
|10 49 30.0|+04 48 00|245.0307| 53.3626|   1.04|    SPIRAL GALAXY|
|11 40 48.0|+04 48 00|262.7936| 62.0345|       |    SPIRAL GALAXY|
|14 27 30.0|+04 48 00|352.9090| 58.0220|   0.94|    SPIRAL GALAXY|
|23 38 27.3|+04 48 03| 91.2756|-53.5248|   0.97|    SPIRAL GALAXY|
|14 27 18.0|+04 48 10|352.8439| 58.0580|   1.34|    SPIRAL GALAXY|
|01 54 24.3|+04 48 13|150.7732|-54.6284|   1.16|LENTICULAR GALAXY|
|02 18 57.2|+04 48 53|159.7330|-51.6928|   1.11|    SPIRAL GALAXY|
|12 25 33.2|+04 48 54|286.3342| 66.8490|   0.34| IRREGULAR GALAXY|
|10 16 18.0|+04 49 00|237.0509| 46.8521|   1.08|    SPIRAL GALAXY|
|14 15 12.6|+04 49 27|348.4733| 60.0653|   1.04|    SPIRAL GALAXY|
|11 04 23.7|+04 49 50|249.3293| 56.1235|   1.33|    SPIRAL GALAXY|
|11 08 34.1|+04 49 56|250.6482| 56.8657|   1.04|    SPIRAL GALAXY|
|11 10 36.0|+04 50 00|251.3081| 57.2225|   1.09|    SPIRAL GALAXY|
|12 02 54.0|+04 50 00|273.3657| 64.8811|   1.25|    SPIRAL GALAXY|
|11 10 54.0|+04 51 00|251.3852| 57.2867|       |    SPIRAL GALAXY|
|13 34 06.0|+04 51 00|329.3467| 65.5100|   1.08|ELLIPTICAL GALAXY|
|20 32 06.0|+04 51 00| 49.5086|-19.7883|   1.06|    SPIRAL GALAXY|
|12 51 13.2|+04 51 35|302.7887| 67.7314|   1.02|    SPIRAL GALAXY|
|00 35 18.0|+04 52 00|115.3791|-57.7682|   1.04|    SPIRAL GALAXY|
|01 35 22.9|+04 52 14|142.9360|-56.2849|   1.09| IRREGULAR GALAXY|
|01 37 07.2|+04 53 07|143.6678|-56.1363|   0.85|    SPIRAL GALAXY|
|05 21 22.1|+04 53 12|197.7472|-17.5027|   1.18|    SPIRAL GALAXY|
|14 42 57.4|+04 53 25|357.9744| 55.3556|   1.35|    SPIRAL GALAXY|
|01 44 41.3|+04 53 26|146.8212|-55.4919|   0.97|    SPIRAL GALAXY|
|10 38 07.2|+04 53 36|241.9498| 51.2416|   1.08|    SPIRAL GALAXY|
|23 35 01.1|+04 53 50| 90.0937|-53.0320|   1.04|LENTICULAR GALAXY|
|00 37 56.3|+04 54 42|116.6136|-57.7944|   0.94|    SPIRAL GALAXY|
|07 01 48.0|+04 55 00|209.7263|  4.5402|   1.04|    SPIRAL GALAXY|
|10 12 11.9|+04 55 25|236.0712| 46.0774|   0.74|    SPIRAL GALAXY|
|12 25 17.5|+04 55 36|286.1006| 66.9401|   1.46|    SPIRAL GALAXY|
|10 48 12.0|+04 55 46|244.5137| 53.2012|   1.17|LENTICULAR GALAXY|
|03 37 54.0|+04 56 00|180.7629|-38.5863|   1.05|    SPIRAL GALAXY|
|15 01 54.0|+04 56 00|  3.2465| 51.8205|   0.96|    SPIRAL GALAXY|
|12 39 21.4|+04 56 20|295.0057| 67.6245|   0.96| IRREGULAR GALAXY|
|09 45 41.8|+04 56 33|231.0643| 40.5688|   1.18|    SPIRAL GALAXY|
|10 45 09.3|+04 56 33|243.6861| 52.6299|   0.98|    SPIRAL GALAXY|
|03 37 48.0|+04 57 00|180.7260|-38.5943|   0.74|    SPIRAL GALAXY|
|20 28 00.0|+04 57 00| 49.0421|-18.8615|   1.08| IRREGULAR GALAXY|
|23 35 10.4|+04 57 49| 90.2032|-52.9926|   1.07|LENTICULAR GALAXY|
|02 56 48.0|+04 58 00|171.0250|-45.8731|   1.06|    SPIRAL GALAXY|
|13 53 12.0|+04 58 00|339.2512| 63.3959|   0.96|    SPIRAL GALAXY|
|23 11 18.0|+04 58 00| 82.1463|-49.8067|   0.82|    SPIRAL GALAXY|
|02 43 22.4|+04 58 03|167.2799|-48.0300|   1.36|    SPIRAL GALAXY|
|04 59 09.4|+04 58 31|194.6187|-22.1891|   1.15|    SPIRAL GALAXY|
|23 34 23.7|+04 58 39| 89.9330|-52.8865|       |           GALAXY|
|07 45 45.1|+04 58 52|214.6694| 14.3445|   1.14|    SPIRAL GALAXY|
|08 41 32.8|+04 58 58|221.4708| 26.7036|   1.33|    SPIRAL GALAXY|
|10 59 00.0|+04 59 00|247.4962| 55.2508|       |    SPIRAL GALAXY|
|13 01 48.0|+04 59 00|309.7520| 67.7178|   0.96|    SPIRAL GALAXY|
|23 21 48.0|+04 59 00| 85.5614|-51.2660|   1.08|    SPIRAL GALAXY|
|13 55 39.1|+04 59 01|340.4159| 63.0827|   1.34| IRREGULAR GALAXY|
|13 56 12.0|+05 00 55|340.7066| 63.0347|   1.83|    SPIRAL GALAXY|
|13 41 36.0|+05 01 00|333.5433| 64.8639|   0.94|LENTICULAR GALAXY|
|22 14 30.0|+05 01 00| 67.2229|-40.3036|   1.02|    SPIRAL GALAXY|
|23 21 54.0|+05 01 00| 85.6237|-51.2515|   1.00|    SPIRAL GALAXY|
|12 17 53.2|+05 01 33|281.5640| 66.4956|   0.76| IRREGULAR GALAXY|
|23 37 45.2|+05 02 17| 91.2035|-53.2333|   0.95|           GALAXY|
|10 04 54.0|+05 03 00|234.4655| 44.6466|   1.04|ELLIPTICAL GALAXY|
|11 13 00.0|+05 03 00|251.8237| 57.7948|   0.94|    SPIRAL GALAXY|
|11 40 54.0|+05 03 00|262.5281| 62.2530|   1.00|    SPIRAL GALAXY|
|21 11 24.0|+05 03 00| 55.4786|-27.9199|   0.93|    SPIRAL GALAXY|
|03 35 31.7|+05 03 35|180.1428|-38.9484|   1.20|    SPIRAL GALAXY|
|08 59 49.1|+05 03 40|223.8526| 30.7476|   0.72|LENTICULAR GALAXY|
|05 45 01.7|+05 03 41|200.6224|-12.3026|       |           GALAXY|
|15 21 56.4|+05 04 11|  8.1240| 47.9382|   1.69|    SPIRAL GALAXY|
|14 21 29.7|+05 04 25|351.1444| 59.2337|   1.07|    SPIRAL GALAXY|
|00 31 06.6|+05 04 44|113.5010|-57.4202|   0.91|    SPIRAL GALAXY|
|08 11 00.0|+05 05 00|217.5507| 19.9992|   1.15|ELLIPTICAL GALAXY|
|11 51 30.0|+05 05 00|267.3440| 63.7335|       |ELLIPTICAL GALAXY|
|13 41 00.0|+05 05 00|333.3003| 64.9910|   1.17|    SPIRAL GALAXY|
|15 29 24.0|+05 05 00|  9.7198| 46.4299|   1.23|LENTICULAR GALAXY|
|00 06 42.0|+05 06 00|102.7165|-56.0058|   0.96|    SPIRAL GALAXY|
|16 03 00.0|+05 06 00| 15.9659| 39.4165|   0.87|    SPIRAL GALAXY|
|10 39 31.4|+05 06 32|242.0300| 51.6492|   0.78|    SPIRAL GALAXY|
|02 09 04.6|+05 06 48|156.0356|-52.6955|   1.28|    SPIRAL GALAXY|
|08 04 06.0|+05 06 51|216.6958| 18.4821|   0.91|    SPIRAL GALAXY|
|23 43 33.8|+05 06 55| 93.4300|-53.8229|   1.00|    SPIRAL GALAXY|
|00 05 00.0|+05 07 00|102.0083|-55.8571|   1.00|    SPIRAL GALAXY|
|11 15 33.1|+05 07 00|252.6036| 58.2824|   0.74|    SPIRAL GALAXY|
|14 27 12.0|+05 07 00|353.2175| 58.3037|   1.00| IRREGULAR GALAXY|
|23 15 48.0|+05 07 00| 83.7097|-50.3276|   1.08|LENTICULAR GALAXY|
|23 22 30.0|+05 07 00| 85.9109|-51.2479|   1.00|    SPIRAL GALAXY|
|09 35 07.5|+05 07 08|229.0923| 38.4130|   1.25|    SPIRAL GALAXY|
|00 37 48.0|+05 08 00|116.5904|-57.5704|   1.12|    SPIRAL GALAXY|
|01 21 06.0|+05 08 00|136.5655|-56.9512|   1.08|    SPIRAL GALAXY|
|22 22 18.0|+05 08 00| 69.0944|-41.6416|   1.00|    SPIRAL GALAXY|
|07 22 00.8|+05 08 48|211.8044|  9.1378|   1.00| IRREGULAR GALAXY|
|23 07 55.0|+05 09 40| 81.2743|-49.1535|   1.04|    SPIRAL GALAXY|
|00 05 24.0|+05 10 00|102.2049|-55.8413|   1.03|    SPIRAL GALAXY|
|00 30 54.0|+05 10 00|113.4290|-57.3257|   1.11|    SPIRAL GALAXY|
|04 38 54.0|+05 36 00|191.0390|-26.0819|   1.07| IRREGULAR GALAXY|
|09 40 54.0|+05 10 00|229.9959| 39.6690|   1.42|LENTICULAR GALAXY|
|11 32 18.0|+05 10 00|258.7751| 61.0585|       |    SPIRAL GALAXY|
|15 48 54.0|+05 10 00| 13.5853| 42.4328|   1.48|    SPIRAL GALAXY|
|22 05 18.0|+05 10 00| 65.3938|-38.4943|   0.97|    SPIRAL GALAXY|
|02 14 05.8|+05 10 32|157.7581|-52.0176|   0.92| IRREGULAR GALAXY|
|01 15 57.3|+05 10 39|134.2385|-57.1550|   1.29|    SPIRAL GALAXY|
|12 24 03.2|+05 10 47|285.1668| 67.1022|   0.98|    SPIRAL GALAXY|
|11 04 30.0|+05 11 00|248.9040| 56.3868|   1.04|    SPIRAL GALAXY|
|15 15 12.0|+05 11 00|  6.7610| 49.3591|   0.96|    SPIRAL GALAXY|
|00 04 30.6|+05 11 55|101.8494|-55.7404|   1.12|    SPIRAL GALAXY|
|03 25 00.0|+05 12 00|177.7126|-40.7963|   1.07|    SPIRAL GALAXY|
|05 11 46.3|+05 12 01|196.1731|-19.3949|   1.22|LENTICULAR GALAXY|
|13 53 26.4|+05 12 29|339.6520| 63.5686|   1.40|LENTICULAR GALAXY|
|23 35 31.7|+05 12 50| 90.5313|-52.8157|   1.21|    SPIRAL GALAXY|
|00 05 24.0|+05 13 00|102.2330|-55.7939|   1.08|LENTICULAR GALAXY|
|00 14 42.0|+05 13 00|106.2133|-56.4579|   1.07|    SPIRAL GALAXY|
|11 13 00.0|+05 13 00|251.6055| 57.9144|       |LENTICULAR GALAXY|
|13 54 11.6|+05 13 36|340.0294| 63.4836|   1.55|    SPIRAL GALAXY|
|20 17 18.0|+05 14 00| 47.8754|-16.4235|   0.95|    SPIRAL GALAXY|
|14 26 08.3|+05 14 12|353.0076| 58.5724|   1.13|    SPIRAL GALAXY|
|12 23 05.7|+05 14 59|284.5278| 67.1032|   1.44|LENTICULAR GALAXY|
|08 15 36.0|+05 15 00|217.9488| 21.0949|   0.96|    SPIRAL GALAXY|
|09 58 36.0|+05 15 00|233.0330| 43.4463|   1.00|    SPIRAL GALAXY|
|01 21 47.1|+05 15 17|136.8233|-56.7963|   1.72|    SPIRAL GALAXY|
|13 56 07.1|+05 15 19|340.9606| 63.2465|   1.61| IRREGULAR GALAXY|
|21 42 12.0|+05 36 00| 61.2722|-33.7844|   1.16|    SPIRAL GALAXY|
|20 25 12.0|+05 15 47| 48.9487|-18.1023|   1.32|    SPIRAL GALAXY|
|10 59 06.0|+05 16 00|247.1583| 55.4606|   1.11|LENTICULAR GALAXY|
|14 35 24.0|+05 16 00|356.1322| 56.9777|   1.08| IRREGULAR GALAXY|
|15 33 48.0|+05 16 00| 10.8301| 45.6301|   0.96|    SPIRAL GALAXY|
|20 17 12.0|+05 17 00| 47.9073|-16.3768|   1.04|    SPIRAL GALAXY|
|12 19 47.2|+05 17 02|282.4894| 66.8910|   1.21|    SPIRAL GALAXY|
|02 17 03.0|+05 17 32|158.6785|-51.5381|       |           GALAXY|
|11 09 54.0|+05 18 00|250.4699| 57.4309|   1.16|    SPIRAL GALAXY|
|14 31 12.5|+05 18 22|354.8206| 57.7459|   1.00|    SPIRAL GALAXY|
|08 06 47.9|+05 18 29|216.8344| 19.1688|   1.21|LENTICULAR GALAXY|
|12 49 58.1|+05 18 39|301.9477| 68.1798|   1.43|    SPIRAL GALAXY|
|02 57 06.0|+05 19 00|170.7723|-45.5617|   0.95|    SPIRAL GALAXY|
|10 50 06.0|+05 19 00|244.5341| 53.8124|   1.04|    SPIRAL GALAXY|
|14 36 18.0|+05 19 00|356.4838| 56.8518|   0.96|LENTICULAR GALAXY|
|09 59 59.9|+05 19 57|233.1991| 43.7832|   1.71| IRREGULAR GALAXY|
|13 54 58.8|+05 20 04|340.5287| 63.4680|   1.49|    SPIRAL GALAXY|
|12 20 03.9|+05 20 31|282.6113| 66.9678|   1.02|    SPIRAL GALAXY|
|12 19 55.6|+05 20 48|282.5239| 66.9616|   1.37|    SPIRAL GALAXY|
|00 01 24.0|+05 21 00|100.6462|-55.3418|   1.00|    SPIRAL GALAXY|
|11 21 06.0|+05 21 00|254.2554| 59.3924|   1.02|ELLIPTICAL GALAXY|
|13 54 06.0|+05 21 00|340.1349| 63.6000|   0.95|    SPIRAL GALAXY|
|22 24 18.0|+05 21 00| 69.7672|-41.8486|   0.95|    SPIRAL GALAXY|
|04 33 10.8|+05 21 19|190.3712|-27.3973|   0.90|LENTICULAR GALAXY|
|14 35 08.5|+05 21 36|356.1725| 57.0889|   1.06|    SPIRAL GALAXY|
|12 54 14.0|+05 21 54|304.8080| 68.2266|       |           GALAXY|
|14 39 11.2|+05 21 57|357.4498| 56.3659|   1.63|    SPIRAL GALAXY|
|01 22 00.0|+05 22 00|136.8747|-56.6755|   0.82|    SPIRAL GALAXY|
|11 02 36.0|+05 22 00|248.0790| 56.1687|       |ELLIPTICAL GALAXY|
|12 37 48.4|+05 22 09|293.8420| 68.0000|   1.32|    SPIRAL GALAXY|
|02 24 12.2|+05 22 17|160.9997|-50.5153|   0.94|    SPIRAL GALAXY|
|01 15 04.3|+05 22 31|133.7775|-56.9980|   0.94|    SPIRAL GALAXY|
|12 19 22.2|+05 22 34|282.1642| 66.9460|   1.07|LENTICULAR GALAXY|
|15 11 36.0|+05 23 00|  6.1764| 50.1961|   1.09|    SPIRAL GALAXY|
|22 56 12.7|+05 23 01| 78.0254|-47.1917|   0.97|    SPIRAL GALAXY|
|12 21 41.9|+05 23 09|283.5706| 67.1330|   1.19|    SPIRAL GALAXY|
|12 20 21.7|+05 23 13|282.7553| 67.0334|   1.48|LENTICULAR GALAXY|
|00 25 48.0|+05 24 00|111.1939|-56.8863|   1.13|    SPIRAL GALAXY|
|13 20 30.0|+05 24 00|321.8885| 67.1960|   1.02| IRREGULAR GALAXY|
|13 58 12.0|+05 24 00|342.0921| 63.0777|   1.15|LENTICULAR GALAXY|
|01 21 06.0|+05 25 00|136.4569|-56.6741|   1.02| IRREGULAR GALAXY|
|02 44 00.0|+05 25 00|167.0447|-47.5815|       |           GALAXY|
|23 14 48.0|+05 25 00| 83.6540|-49.9394|   1.20| IRREGULAR GALAXY|
|01 54 24.0|+05 25 18|150.3320|-54.0664|   1.01|    SPIRAL GALAXY|
|23 38 36.7|+05 25 59| 91.8250|-52.9833|   1.02|    SPIRAL GALAXY|
|03 04 36.0|+05 26 00|172.6125|-44.2205|       |           GALAXY|
|04 18 57.5|+05 26 40|187.9646|-30.2421|   1.02|    SPIRAL GALAXY|
|02 36 54.0|+05 27 00|164.9177|-48.6335|   1.00|    SPIRAL GALAXY|
|05 12 06.0|+05 27 00|195.9916|-19.1957|   0.82|    SPIRAL GALAXY|
|12 19 45.9|+05 27 27|282.3372| 67.0542|   0.45| IRREGULAR GALAXY|
|23 25 35.6|+05 27 30| 87.2452|-51.3662|   0.96| IRREGULAR GALAXY|
|14 33 52.1|+05 27 35|355.8947| 57.3852|   1.04|    SPIRAL GALAXY|
|07 59 52.6|+05 36 30|215.7327| 17.7669|   0.67|    SPIRAL GALAXY|
|12 19 48.7|+05 27 52|282.3599| 67.0645|   1.31|LENTICULAR GALAXY|
|13 12 06.0|+05 28 00|316.6452| 67.7866|   0.96| IRREGULAR GALAXY|
|17 34 00.0|+05 28 00| 28.9314| 19.7017|   1.04|    SPIRAL GALAXY|
|23 39 11.1|+05 29 03| 92.0745|-53.0036|   1.04|    SPIRAL GALAXY|
|10 58 48.0|+05 30 00|246.7645| 55.5620|       |LENTICULAR GALAXY|
|11 37 48.0|+05 30 00|260.6225| 62.1604|       |    SPIRAL GALAXY|
|04 51 41.9|+05 30 11|193.0562|-23.4746|   1.14|    SPIRAL GALAXY|
|00 12 36.9|+05 30 14|105.4479|-56.0443|   0.96|    SPIRAL GALAXY|
|01 35 12.8|+05 30 22|142.5207|-55.6919|   1.07| IRREGULAR GALAXY|
|23 56 51.5|+05 30 27| 98.8949|-54.7969|   1.08|    SPIRAL GALAXY|
|20 11 54.0|+05 31 00| 47.4282|-15.1191|   0.98|    SPIRAL GALAXY|
|13 59 24.0|+05 32 00|342.8013| 63.0175|   1.16|    SPIRAL GALAXY|
|22 23 18.0|+05 32 00| 69.7102|-41.5425|   1.02|    SPIRAL GALAXY|
|12 19 42.6|+05 32 22|282.2375| 67.1277|   1.30|    SPIRAL GALAXY|
|04 30 57.9|+05 32 25|189.8469|-27.7468|   1.17|    SPIRAL GALAXY|
|04 12 22.7|+05 32 51|186.7397|-31.5017|   0.95|    SPIRAL GALAXY|
|15 14 49.6|+05 32 52|  7.1268| 49.6507|   1.08|    SPIRAL GALAXY|
|01 19 00.0|+05 33 00|135.4766|-56.6489|   0.98|    SPIRAL GALAXY|
|04 01 06.0|+05 33 00|184.7172|-33.7321|   0.97|    SPIRAL GALAXY|
|12 18 31.0|+05 33 36|281.4982| 67.0517|   1.18|    SPIRAL GALAXY|
|11 23 00.0|+05 34 00|254.6635| 59.8699|       |    SPIRAL GALAXY|
|14 10 18.0|+05 34 00|347.4969| 61.4137|   1.07|    SPIRAL GALAXY|
|14 56 42.0|+05 34 00|  2.7063| 53.2237|   1.00|    SPIRAL GALAXY|
|22 34 06.1|+05 34 17| 72.3356|-43.4071|   1.21|    SPIRAL GALAXY|
|12 20 24.2|+05 34 28|282.6315| 67.2149|   0.89|LENTICULAR GALAXY|
|04 23 12.3|+05 34 29|188.5524|-29.3076|   1.05|    SPIRAL GALAXY|
|10 37 36.0|+05 35 00|240.9527| 51.5672|   0.95|    SPIRAL GALAXY|
|01 56 12.1|+05 35 20|150.9062|-53.7281|   0.34|           GALAXY|
|01 58 53.3|+05 35 37|151.9213|-53.4387|   1.06|    SPIRAL GALAXY|
|01 57 21.8|+05 36 36|151.3332|-53.5868|   1.01|    SPIRAL GALAXY|
|01 04 48.0|+05 37 00|129.0599|-57.0960|   1.04|    SPIRAL GALAXY|
|02 31 48.0|+05 37 00|163.2059|-49.2452|   1.11|    SPIRAL GALAXY|
|03 41 12.0|+05 37 00|180.7884|-37.5180|   0.95|    SPIRAL GALAXY|
|08 06 18.0|+05 37 00|216.4836| 19.1976|   0.96|    SPIRAL GALAXY|
|10 37 30.0|+05 37 00|240.8858| 51.5680|   1.02|    SPIRAL GALAXY|
|04 59 21.3|+05 37 03|194.0602|-21.8060|   1.19|    SPIRAL GALAXY|
|12 18 27.9|+05 37 03|281.4187| 67.1018|   0.41| IRREGULAR GALAXY|
|01 56 24.1|+05 37 35|150.9559|-53.6731|   0.30|ELLIPTICAL GALAXY|
|01 56 20.9|+05 37 44|150.9338|-53.6764|   1.47|ELLIPTICAL GALAXY|
|16 03 12.0|+05 38 00| 16.5914| 39.6492|   0.74|    SPIRAL GALAXY|
|20 46 48.0|+05 38 00| 52.2891|-22.4869|   1.07|    SPIRAL GALAXY|
|23 17 18.0|+05 38 00| 84.6451|-50.1083|   0.72|LENTICULAR GALAXY|
|08 40 14.4|+05 38 02|220.6562| 26.7192|   1.14|    SPIRAL GALAXY|
|01 49 10.5|+05 38 22|148.1424|-54.3817|       |           GALAXY|
|15 02 18.0|+05 39 00|  4.2562| 52.1910|   1.18|    SPIRAL GALAXY|
|23 17 18.0|+05 39 00| 84.6595|-50.0944|   0.74|    SPIRAL GALAXY|
|02 18 26.3|+05 39 05|158.8487|-51.0512|   1.18|    SPIRAL GALAXY|
|23 01 07.6|+05 39 15| 79.6910|-47.7405|   1.20|    SPIRAL GALAXY|
|02 03 10.4|+05 39 24|153.4684|-52.9089|   0.98|    SPIRAL GALAXY|
|23 44 27.3|+05 39 46| 94.1687|-53.4266|   1.03|    SPIRAL GALAXY|
|14 32 30.0|+05 40 00|355.7247| 57.7731|   1.00|    SPIRAL GALAXY|
|04 20 54.9|+05 40 22|188.0796|-29.7137|   0.95|    SPIRAL GALAXY|
|12 14 34.6|+05 40 38|279.0457| 66.8240|   0.76| IRREGULAR GALAXY|
|10 38 48.0|+05 41 00|241.1216| 51.8641|   1.03|    SPIRAL GALAXY|
|10 57 30.0|+05 41 00|246.1425| 55.4430|   0.96|    SPIRAL GALAXY|
|02 32 48.0|+05 42 00|163.4420|-49.0331|   1.04|LENTICULAR GALAXY|
|04 00 00.0|+05 42 00|184.3719|-33.8548|   1.00|    SPIRAL GALAXY|
|12 22 38.6|+06 00 46|283.6727| 67.8014|   0.71| IRREGULAR GALAXY|
|09 46 17.6|+05 42 30|230.3056| 41.0971|   1.11|    SPIRAL GALAXY|
|04 51 30.0|+05 43 00|192.8314|-23.4003|       |           GALAXY|
|11 32 48.0|+05 43 00|258.2604| 61.5654|   0.96|    SPIRAL GALAXY|
|12 27 55.8|+05 43 19|287.2375| 67.8745|   1.10|    SPIRAL GALAXY|
|12 19 07.1|+05 43 30|281.7246| 67.2564|   1.10|    SPIRAL GALAXY|
|01 40 08.8|+05 43 40|144.4501|-55.0960|   1.42|    SPIRAL GALAXY|
|15 10 48.0|+05 44 00|  6.4276| 50.5655|   1.08|LENTICULAR GALAXY|
|12 42 18.2|+05 44 22|296.7214| 68.5010|   0.76| IRREGULAR GALAXY|
|12 25 18.2|+05 44 29|285.5520| 67.7270|   1.15| IRREGULAR GALAXY|
|13 53 18.0|+05 45 00|340.2464| 64.0441|   1.07| IRREGULAR GALAXY|
|20 11 48.0|+05 45 00| 47.6244|-14.9806|   1.02|    SPIRAL GALAXY|
|12 15 18.9|+05 45 42|279.4051| 66.9688|   0.60|ELLIPTICAL GALAXY|
|00 53 24.0|+05 46 00|123.8305|-57.1017|   1.00|    SPIRAL GALAXY|
|13 44 18.0|+05 46 00|335.7843| 65.2099|   1.18|LENTICULAR GALAXY|
|20 12 00.0|+05 46 00| 47.6651|-15.0153|   1.06|    SPIRAL GALAXY|
|00 54 41.8|+05 46 27|124.4238|-57.0881|   0.99|    SPIRAL GALAXY|
|01 39 38.4|+05 47 00|144.2103|-55.0846|   0.95|    SPIRAL GALAXY|
|11 29 42.0|+05 48 00|256.9091| 61.1390|       |    SPIRAL GALAXY|
|23 12 48.0|+05 48 00| 83.3578|-49.3412|   1.03|    SPIRAL GALAXY|
|12 14 38.3|+05 48 21|278.9633| 66.9494|   1.53|    SPIRAL GALAXY|
|12 25 52.9|+05 48 30|285.8719| 67.8296|   1.01| IRREGULAR GALAXY|
|12 23 28.3|+05 48 59|284.3435| 67.6732|   0.58|           GALAXY|
|05 20 06.0|+05 49 00|196.7400|-17.3008|   0.92|           GALAXY|
|11 11 18.0|+05 49 00|250.2420| 58.0421|   0.95|LENTICULAR GALAXY|
|12 01 42.0|+05 49 00|271.6664| 65.6229|   0.82|    SPIRAL GALAXY|
|22 34 35.0|+05 49 01| 72.6878|-43.3118|   1.16|    SPIRAL GALAXY|
|12 19 22.8|+05 49 36|281.7992| 67.3737|   1.61|ELLIPTICAL GALAXY|
|00 04 24.0|+05 50 00|102.1610|-55.1302|   1.24|    SPIRAL GALAXY|
|01 20 24.0|+05 50 00|135.9930|-56.3022|   1.20| IRREGULAR GALAXY|
|15 22 06.0|+05 50 00|  9.0909| 48.3486|       |           GALAXY|
|15 41 48.0|+05 50 00| 13.0474| 44.2802|   1.00|    SPIRAL GALAXY|
|01 36 47.1|+05 50 07|143.0018|-55.2596|   1.23|ELLIPTICAL GALAXY|
|11 11 18.8|+05 50 14|250.2188| 58.0589|   0.96|LENTICULAR GALAXY|
|09 34 38.8|+05 50 26|228.2207| 38.6781|   1.08|    SPIRAL GALAXY|
|10 51 13.3|+05 50 31|244.1581| 54.3648|   1.58|    SPIRAL GALAXY|
|12 19 35.6|+05 50 51|281.9124| 67.4105|   0.99|LENTICULAR GALAXY|
|17 11 06.0|+05 51 00| 26.4981| 24.9499|   1.24|    SPIRAL GALAXY|
|21 18 54.0|+05 51 00| 57.4406|-28.9916|   0.89|    SPIRAL GALAXY|
|15 22 05.3|+05 51 19|  9.1154| 48.3636|       |           GALAXY|
|23 46 13.3|+05 51 46| 94.9790|-53.4322|   1.00|    SPIRAL GALAXY|
|19 55 00.0|+05 52 00| 45.6063|-11.2911|   1.23|    SPIRAL GALAXY|
|02 10 37.8|+05 52 14|155.9832|-51.8460|   0.91|    SPIRAL GALAXY|
|01 37 17.6|+05 52 39|143.1898|-55.1804|   1.19|LENTICULAR GALAXY|
|12 27 09.2|+05 52 47|286.6358| 67.9798|   1.36|    SPIRAL GALAXY|
|00 15 12.0|+05 53 00|106.7326|-55.8445|   1.04|    SPIRAL GALAXY|
|09 19 30.0|+05 53 00|225.8273| 35.4307|   1.12|    SPIRAL GALAXY|
|15 46 54.0|+05 53 00| 14.0479| 43.2366|   1.11|LENTICULAR GALAXY|
|19 57 12.0|+05 53 00| 45.8941|-11.7603|   1.50|    SPIRAL GALAXY|
|03 44 54.0|+05 54 00|181.2692|-36.6347|   1.19|    SPIRAL GALAXY|
|05 20 06.0|+05 54 00|196.6650|-17.2581|       |           GALAXY|
|23 19 24.8|+05 54 23| 85.5645|-50.1684|   0.91|    SPIRAL GALAXY|
