

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|22 28 17.2|-75 57 10|313.3290|-38.1397|   1.08|    SPIRAL GALAXY|
|02 09 01.3|-75 56 22|296.8628|-40.2610|   1.35|    SPIRAL GALAXY|
|15 11 28.9|-75 51 34|311.2879|-15.3127|   1.46|    SPIRAL GALAXY|
|09 06 34.9|-75 48 27|290.5082|-18.7066|   1.30|    SPIRAL GALAXY|
|15 46 59.2|-75 47 15|313.1586|-16.5317|   1.30|    SPIRAL GALAXY|
|18 31 16.8|-75 46 35|318.6012|-25.0113|   1.13|    SPIRAL GALAXY|
|15 48 16.3|-75 40 22|313.2989|-16.4952|   1.46|    SPIRAL GALAXY|
|14 16 59.2|-75 38 49|308.2702|-13.6694|   1.43|LENTICULAR GALAXY|
|04 32 50.0|-75 32 27|288.4813|-34.6033|   1.03|    SPIRAL GALAXY|
|02 16 29.8|-75 31 50|296.0929|-40.4479|   1.11|LENTICULAR GALAXY|
|23 57 12.5|-75 30 06|307.4022|-41.1524|   0.95|    SPIRAL GALAXY|
|13 10 17.0|-75 29 46|304.1400|-12.6686|   1.09|LENTICULAR GALAXY|
|10 04 16.8|-75 28 43|292.9234|-15.9639|   1.40|    SPIRAL GALAXY|
|12 09 12.5|-75 28 30|300.2307|-12.8252|   1.09|    SPIRAL GALAXY|
|04 57 17.5|-75 25 20|287.6002|-33.2515|   1.16|    SPIRAL GALAXY|
|07 21 00.5|-75 23 08|286.9907|-24.3518|   1.12|    SPIRAL GALAXY|
|11 50 21.8|-75 22 23|299.0189|-12.9673|   1.48| IRREGULAR GALAXY|
|06 06 51.1|-75 21 58|286.4697|-28.9901|   1.03|    SPIRAL GALAXY|
|14 23 49.1|-75 19 20|308.7990|-13.5132|   1.44|    SPIRAL GALAXY|
|23 46 10.9|-75 16 26|308.3740|-41.1574|   1.18|    SPIRAL GALAXY|
|01 41 49.0|-75 16 12|298.6905|-41.4407|   1.12|    SPIRAL GALAXY|
|07 25 35.8|-75 10 50|286.8559|-24.0174|   0.89|           GALAXY|
|22 49 13.3|-75 10 50|312.6409|-39.5569|   1.09|    SPIRAL GALAXY|
|08 38 47.2|-75 09 23|288.8760|-19.7451|   1.50| IRREGULAR GALAXY|
|21 44 16.6|-75 06 45|316.4333|-36.6719|   1.61|    SPIRAL GALAXY|
|07 28 41.1|-75 03 15|286.7824|-23.7920|   1.19| IRREGULAR GALAXY|
|17 34 35.7|-75 02 48|318.1039|-21.4063|   1.13|    SPIRAL GALAXY|
|02 10 40.9|-75 02 20|296.2696|-41.0480|   1.40|    SPIRAL GALAXY|
|01 39 11.6|-75 00 43|298.8208|-41.7329|   1.19|LENTICULAR GALAXY|
|21 51 51.9|-74 59 20|316.1883|-37.1371|   1.17|    SPIRAL GALAXY|
|17 40 18.4|-74 59 05|318.3311|-21.7153|   1.09|ELLIPTICAL GALAXY|
|10 04 18.5|-74 55 49|292.5738|-15.5309|   1.11|LENTICULAR GALAXY|
|05 00 10.7|-74 54 14|286.9422|-33.2576|   0.85|           GALAXY|
|06 34 49.6|-74 53 29|285.9377|-27.1950|   1.07|    SPIRAL GALAXY|
|21 45 45.4|-74 49 53|316.6462|-36.9152|   1.14|    SPIRAL GALAXY|
|15 53 11.7|-74 49 34|314.1224|-16.0592|   1.28|    SPIRAL GALAXY|
|20 56 29.3|-74 46 07|318.6765|-34.1463|   1.01| IRREGULAR GALAXY|
|02 43 47.3|-74 43 23|293.5711|-40.2972|   0.69|           GALAXY|
|21 52 13.2|-74 41 13|316.4694|-37.3411|   1.10|    SPIRAL GALAXY|
|23 25 31.4|-74 41 06|310.3155|-41.1882|   1.16|    SPIRAL GALAXY|
|13 35 30.5|-74 39 08|305.8965|-12.0347|   1.26|    SPIRAL GALAXY|
|09 46 28.2|-74 35 44|291.4174|-16.0275|   1.47|    SPIRAL GALAXY|
|08 09 55.6|-74 30 42|287.2934|-21.0764|   1.17| IRREGULAR GALAXY|
|17 30 45.4|-74 27 28|318.5526|-20.9211|   1.10|    SPIRAL GALAXY|
|02 58 06.1|-74 27 24|292.3561|-39.9628|   1.32|    SPIRAL GALAXY|
|17 37 08.1|-74 22 54|318.8262|-21.2733|   1.21|    SPIRAL GALAXY|
|06 43 07.0|-74 14 12|285.2581|-26.5906|   1.18|           GALAXY|
|06 43 06.0|-74 13 00|285.2357|-26.5896|   1.20|LENTICULAR GALAXY|
|17 11 38.7|-74 08 25|318.1849|-19.6356|   1.16|    SPIRAL GALAXY|
|22 03 57.4|-74 05 16|316.4220|-38.3315|   0.95|    SPIRAL GALAXY|
|21 29 13.0|-74 04 12|318.2030|-36.4175|   1.05|    SPIRAL GALAXY|
|17 51 02.9|-74 01 53|319.5790|-22.0006|   1.36|    SPIRAL GALAXY|
|18 21 17.8|-74 01 53|320.2982|-23.9714|   1.18| IRREGULAR GALAXY|
|21 50 23.7|-73 59 53|317.2530|-37.6624|   1.28|    SPIRAL GALAXY|
|09 02 25.0|-73 59 14|288.8290|-17.7882|   0.83|           GALAXY|
|15 27 39.8|-73 56 40|313.2922|-14.3037|   1.41|    SPIRAL GALAXY|
|17 24 36.3|-73 56 18|318.8398|-20.3105|   1.28|    SPIRAL GALAXY|
|09 50 08.1|-73 55 17|291.1468|-15.3579|   1.56|    SPIRAL GALAXY|
|20 17 24.4|-73 53 09|320.6434|-31.9089|   1.12|    SPIRAL GALAXY|
|18 06 35.1|-73 53 03|320.1314|-22.9560|   1.20|    SPIRAL GALAXY|
|21 58 28.5|-73 51 34|316.9543|-38.1881|   1.12|LENTICULAR GALAXY|
|22 48 12.2|-73 48 57|313.7714|-40.6148|   1.05|    SPIRAL GALAXY|
|21 14 17.7|-73 46 24|319.1475|-35.6614|   1.14|    SPIRAL GALAXY|
|08 53 28.0|-73 45 52|288.2476|-18.1486|   0.82|           GALAXY|
|05 31 42.0|-73 44 59|284.9587|-31.5121|   1.31|    SPIRAL GALAXY|
|11 57 30.1|-73 41 06|299.1030|-11.2155|   1.26|ELLIPTICAL GALAXY|
|06 43 48.3|-73 40 31|284.6400|-26.4829|   1.13|    SPIRAL GALAXY|
|05 05 06.9|-73 39 10|285.3961|-33.3420|   1.00|    SPIRAL GALAXY|
|08 52 47.1|-73 37 14|288.0956|-18.1023|   1.06|LENTICULAR GALAXY|
|20 42 08.4|-73 37 12|320.3893|-33.6452|   1.33|LENTICULAR GALAXY|
|08 38 19.5|-73 32 33|287.4182|-18.9006|   1.16|LENTICULAR GALAXY|
|02 24 36.0|-73 31 00|294.2486|-42.0045|   1.37|ELLIPTICAL GALAXY|
|07 10 43.5|-73 30 36|284.8104|-24.5820|   0.88|           GALAXY|
|23 58 01.1|-73 27 12|308.1038|-43.1344|   1.08|    SPIRAL GALAXY|
|06 04 44.7|-73 24 05|284.2328|-29.2370|   1.29|    SPIRAL GALAXY|
|22 08 54.9|-73 22 54|316.8088|-39.0581|   1.19|    SPIRAL GALAXY|
|10 41 11.4|-73 22 07|293.8414|-12.8396|   1.09|    SPIRAL GALAXY|
|08 58 40.1|-73 19 33|288.1109|-17.5908|   1.00|LENTICULAR GALAXY|
|17 09 23.3|-73 19 11|318.8397|-19.0729|   1.26|    SPIRAL GALAXY|
|14 47 44.9|-73 18 27|311.1467|-12.3189|   1.41|    SPIRAL GALAXY|
|18 44 38.7|-73 15 47|321.5149|-25.4086|   1.22|ELLIPTICAL GALAXY|
|10 34 13.8|-73 14 26|293.3322|-12.9804|   1.08|    SPIRAL GALAXY|
|04 57 48.5|-73 13 57|285.1156|-33.9689|   1.06|ELLIPTICAL GALAXY|
|02 11 33.2|-73 09 46|295.1694|-42.7370|   1.22|    SPIRAL GALAXY|
|00 18 21.1|-73 09 08|306.2417|-43.7628|   1.05|LENTICULAR GALAXY|
|17 16 37.6|-73 08 52|319.2806|-19.4317|   1.16|    SPIRAL GALAXY|
|03 42 54.9|-72 56 00|288.0758|-38.8540|   1.04|    SPIRAL GALAXY|
|11 53 42.7|-72 52 48|298.6530|-10.4896|   1.07|    SPIRAL GALAXY|
|07 50 18.5|-72 52 21|285.0843|-21.6647|   1.07|    SPIRAL GALAXY|
|15 11 54.2|-72 51 31|312.9434|-12.7775|   1.49|    SPIRAL GALAXY|
|00 52 38.1|-72 48 01|302.8082|-44.3277|   3.50|    SPIRAL GALAXY|
|22 13 55.0|-72 46 41|317.0705|-39.7333|   1.17|LENTICULAR GALAXY|
|15 12 32.0|-72 45 54|313.0345|-12.7224|   1.27|    SPIRAL GALAXY|
